05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"
05-05-2024 18:03:03.702,10762,RECV,BC303230323436433230303030464439440D
05-05-2024 18:03:04.011,10763,RECV,BC303230323436343245303032303146
05-05-2024 18:03:04.072,10764,RECV,4433340D
05-05-2024 18:03:07.164,10765,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:07.380,10766,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:14.147,10767,RECV,BC3033303334363434453030323031464433300D
05-05-2024 18:03:14.456,10768,RECV,BC303330333436393130303030464441360D
05-05-2024 18:03:14.768,10769,RECV,BC303330333436463230303030464439380D
05-05-2024 18:03:15.082,10770,RECV,BC303330333436433130303030464439430D
05-05-2024 18:03:15.392,10771,RECV,BC303330333436433230303030464439420D
05-05-2024 18:03:15.708,10772,RECV,BC3033303334363432453030323031464433320D
05-05-2024 18:03:16.023,10773,RECV,BC3033303334363434453030323031464433300D
05-05-2024 18:03:16.331,10774,RECV,BC303330333436393130303030464441360D
05-05-2024 18:03:16.643,10775,RECV,BC303330333436463230303030464439380D
05-05-2024 18:03:16.958,10776,RECV,BC303330333436433130303030464439430D
05-05-2024 18:03:17.269,10777,RECV,BC303330333436433230303030464439420D
05-05-2024 18:03:17.578,10778,RECV,BC3033303334363432453030323031464433320D
05-05-2024 18:03:17.891,10779,RECV,BC3033303334363434453030323031464433300D
05-05-2024 18:03:18.207,10780,RECV,BC303330333436393130303030464441360D
05-05-2024 18:03:18.518,10781,RECV,BC303330333436463230303030464439380D
05-05-2024 18:03:18.829,10782,RECV,BC303330333436433130303030464439430D
05-05-2024 18:03:22.391,10783,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:22.528,10784,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:22.747,10785,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:28.716,10786,RECV,BC303430343436433230303030464439390D
05-05-2024 18:03:29.027,10787,RECV,BC3034303434363432453030323031464433300D
05-05-2024 18:03:29.340,10788,RECV,BC3034303434363434453030323031464432450D
05-05-2024 18:03:29.650,10789,RECV,BC303430343436393130303030464441340D
05-05-2024 18:03:29.962,10790,RECV,BC303430343436463230303030464439360D
05-05-2024 18:03:30.273,10791,RECV,BC303430343436433130303030464439410D
05-05-2024 18:03:30.586,10792,RECV,BC303430343436433230303030464439390D
05-05-2024 18:03:30.899,10793,RECV,BC3034303434363432453030323031464433300D
05-05-2024 18:03:31.213,10794,RECV,BC3034303434363434453030323031464432450D
05-05-2024 18:03:31.523,10795,RECV,BC303430343436393130303030464441340D
05-05-2024 18:03:31.834,10796,RECV,BC303430343436463230303030464439360D
05-05-2024 18:03:32.148,10797,RECV,BC303430343436433130303030464439410D
05-05-2024 18:03:32.459,10798,RECV,BC303430343436433230303030464439390D
05-05-2024 18:03:32.768,10799,RECV,BC3034303434363432453030323031464433300D
05-05-2024 18:03:33.080,10800,RECV,BC3034303434363434453030323031464432450D
05-05-2024 18:03:33.389,10801,RECV,BC303430343436393130303030464441340D
05-05-2024 18:03:36.781,10802,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:37.004,10803,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:42.403,10804,RECV,BC303530353436463230303030464439340D
05-05-2024 18:03:42.715,10805,RECV,BC303530353436433130303030464439380D
05-05-2024 18:03:43.030,10806,RECV,BC303530353436433230303030464439370D
05-05-2024 18:03:43.339,10807,RECV,BC3035303534363432453030323031464432450D
05-05-2024 18:03:43.651,10808,RECV,BC3035303534363434453030323031464432430D
05-05-2024 18:03:43.958,10809,RECV,BC303530353436393130303030464441320D
05-05-2024 18:03:44.270,10810,RECV,BC303530353436463230303030464439340D
05-05-2024 18:03:44.579,10811,RECV,BC303530353436433130303030464439380D
05-05-2024 18:03:44.892,10812,RECV,BC303530353436433230303030464439370D
05-05-2024 18:03:45.204,10813,RECV,BC3035303534363432453030323031464432450D
